,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,TP asema Oy,29.06.2018,
1,Y-tunnus,2690013-8,,
2,Kotipaikka,Pieksämäki,21.05.2015,
3,Yritysmuoto,Osakeyhtiö,21.05.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,21.05.2015,,
6,Viimeisin rekisteröintiajankohta,05.08.2022,05.08.2022,
7,Yrityksen tiedot järjestelmässä alkaen,21.05.2015,,
8,Yrityksen tila,Rekisterissä,21.05.2015,
9,Yrityksen tilanne,Saneerausmenettelyssä,05.08.2022,
10,Yrityksellä on yrityskiinnityksiä,Kyllä,,
11,Yrityksellä on edunsaajatietoja,Kyllä,04.02.2020,
12,Yhteystiedot,,22.03.2021,
13,Postiosoite,c/o Teboil Kivenlahti  Vanha jorvaksentie 1  02320  Espoo  Suomi,,
14,Käyntiosoite,Vanha jorvaksentie 1  02320  Espoo  Suomi,,
