,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Koko & kehitys Oy,09.06.2015,
1,Y-tunnus,2694643-5,,
2,Kotipaikka,Vantaa,09.06.2015,
3,Yritysmuoto,Osakeyhtiö,09.06.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,09.06.2015,,
6,Viimeisin rekisteröintiajankohta,19.01.2023,19.01.2023,
7,Yrityksen tiedot järjestelmässä alkaen,09.06.2015,,
8,Yrityksen tila,Rekisterissä,09.06.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,06.11.2019,
11,Yhteystiedot,,01.02.2020,
12,Postiosoite,Loutinkatu 12 D  04400  Järvenpää  Suomi,,
13,Käyntiosoite,Loutinkatu 12 D  04400  Järvenpää  Suomi,,
14,Puhelin,"0505679233, 0505679233",,
15,Sähköposti,s.meronen-vilenius(a)kokokehitys.fi,,
16,Www,http://www.kokokehitys.fi,,
