,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Botnia Real Estate Advisor Oy,16.03.2015,
1,Y-tunnus,2675855-7,,
2,Kotipaikka,Seinäjoki,16.03.2015,
3,Yritysmuoto,Osakeyhtiö,16.03.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,16.03.2015,,
6,Viimeisin rekisteröintiajankohta,24.06.2022,24.06.2022,
7,Yrityksen tiedot järjestelmässä alkaen,16.03.2015,,
8,Yrityksen tila,Rekisterissä,16.03.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,11.07.2020,
11,Yhteystiedot,,15.08.2017,
12,Postiosoite,PL 30  60101  Seinäjoki  Suomi,,
13,Käyntiosoite,Alaseinäjoenkatu 15  60220  Seinäjoki  Suomi,,
14,Puhelin,0400 662716,,
15,Sähköposti,raimo.sarajarvi(a)kotijoukkue.fi,,
