,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Vikbyn Vuokrahalli Oy,25.06.2015,
1,Y-tunnus,2693530-6,,
2,Kotipaikka,Vaasa,25.06.2015,
3,Yritysmuoto,Osakeyhtiö,25.06.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,25.06.2015,,
6,Viimeisin rekisteröintiajankohta,26.11.2022,26.11.2022,
7,Yrityksen tiedot järjestelmässä alkaen,25.06.2015,,
8,Yrityksen tila,Rekisterissä,25.06.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,28.12.2020,
12,Postiosoite,c/o Vaasan Kivat Kodit Oy  Rauhankatu 28  65100  Vaasa  Suomi,,
13,Käyntiosoite,Ilveksenpolku 3  65480  Vikby  Suomi,,
