,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Kotva Games Oy,27.10.2015,
1,Y-tunnus,2716465-4,,
2,Kotipaikka,Helsinki,27.10.2015,
3,Yritysmuoto,Osakeyhtiö,27.10.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,27.10.2015,,
6,Viimeisin rekisteröintiajankohta,25.05.2020,25.05.2020,
7,Yrityksen tiedot järjestelmässä alkaen,27.10.2015,,
8,Yrityksen tila,Rekisterissä,27.10.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,01.05.2022,
12,Postiosoite,Marmoritie 2 F 29  00710  Helsinki  Suomi,,
13,Sähköposti,kotvagames(a)gmail.com,,
