,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,JK -tion Oy,12.03.2015,
1,Y-tunnus,2677152-4,,
2,Kotipaikka,Lapua,12.03.2015,
3,Yritysmuoto,Osakeyhtiö,12.03.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,12.03.2015,,
6,Viimeisin rekisteröintiajankohta,30.04.2022,30.04.2022,
7,Yrityksen tiedot järjestelmässä alkaen,12.03.2015,,
8,Yrityksen tila,Rekisterissä,12.03.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,01.12.2019,
11,Yhteystiedot,,19.02.2015,
12,Postiosoite,Jokipellontie 8  62100  Lapua  Suomi,,
13,Käyntiosoite,Jokipellontie 8  62100  Lapua  Suomi,,
14,Sähköposti,jk.tion.oy(a)gmail.com,,
