,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Tagfulo Oy,20.11.2015,
1,Y-tunnus,2723548-3,,
2,Kotipaikka,Helsinki,20.11.2015,
3,Yritysmuoto,Osakeyhtiö,20.11.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,20.11.2015,,
6,Viimeisin rekisteröintiajankohta,10.02.2023,10.02.2023,
7,Yrityksen tiedot järjestelmässä alkaen,20.11.2015,,
8,Yrityksen tila,Rekisterissä,20.11.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,10.05.2021,
11,Yhteystiedot,,12.03.2018,
12,Postiosoite,Rautatehtaankatu 17  20200  Turku  Suomi,,
13,Käyntiosoite,Rautatehtaankatu 17  20200  Turku  Suomi,,
