,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,YH-Priimus Oy,16.04.2015,
1,Y-tunnus,2684304-9,,
2,Kotipaikka,Tampere,16.04.2015,
3,Yritysmuoto,Osakeyhtiö,16.04.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,16.04.2015,,
6,Viimeisin rekisteröintiajankohta,11.06.2022,11.06.2022,
7,Yrityksen tiedot järjestelmässä alkaen,16.04.2015,,
8,Yrityksen tila,Rekisterissä,16.04.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,24.06.2020,
11,Yhteystiedot,,31.03.2015,
12,Postiosoite,Aleksis Kiven katu 26  33200  Tampere  Suomi,,
13,Käyntiosoite,Aleksis Kiven katu 26  33200  Tampere  Suomi,,
14,Puhelin,0102273000,,
15,Sähköposti,etunimi.sukunimi(a)yhkodit.fi,,
16,Www,http://www.yhkodit.fi,,
