,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,LähiTapiola Tontit GP I Oy,26.06.2015,
1,Y-tunnus,2696391-3,,
2,Kotipaikka,Espoo,26.06.2015,
3,Yritysmuoto,Osakeyhtiö,26.06.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,26.06.2015,,
6,Viimeisin rekisteröintiajankohta,01.02.2023,01.02.2023,
7,Yrityksen tiedot järjestelmässä alkaen,26.06.2015,,
8,Yrityksen tila,Rekisterissä,26.06.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,08.06.2020,
11,Yhteystiedot,,01.10.2015,
12,Postiosoite,PL 509  00101  Helsinki  Suomi,,
13,Käyntiosoite,Yrjönkatu 9 A  00120  Helsinki  Suomi,,
14,Puhelin,09 228 631,,
15,Faksi,09 228 6250,,
