,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,GPC Finland Oy,10.08.2017,
1,Y-tunnus,2705430-8,,
2,Kotipaikka,Helsinki,21.08.2015,
3,Yritysmuoto,Osakeyhtiö,21.08.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,21.08.2015,,
6,Viimeisin rekisteröintiajankohta,11.11.2022,11.11.2022,
7,Yrityksen tiedot järjestelmässä alkaen,21.08.2015,,
8,Yrityksen tila,Rekisterissä,21.08.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,06.08.2018,
12,Postiosoite,Hernesaarenkatu 11 E 113  00150  Helsinki  Suomi,,
13,Käyntiosoite,Hernesaarenkatu 11 E 113  00150  Helsinki  Suomi,,
14,Sähköposti,gpcfinlandoy(a)gmail.com,,
