,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,SK-Maansiirto Oy,01.09.2015,
1,Y-tunnus,2705298-6,,
2,Kotipaikka,Petäjävesi,01.09.2021,
3,Yritysmuoto,Osakeyhtiö,01.09.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,01.09.2015,,
6,Viimeisin rekisteröintiajankohta,23.11.2022,23.11.2022,
7,Yrityksen tiedot järjestelmässä alkaen,01.09.2015,,
8,Yrityksen tila,Rekisterissä,01.09.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,01.07.2020,
11,Yhteystiedot,,04.01.2017,
12,Postiosoite,Havutie 35  40950  Muurame  Suomi,,
13,Puhelin,0503689551,,
14,Sähköposti,skm(a)skmaansiirto.fi,,
15,Www,http://www.skmaansiirto.fi,,
