,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,AOR Arkkitehdit Oy,29.11.2021,
1,Y-tunnus,2678782-5,,
2,Kotipaikka,Helsinki,10.03.2015,
3,Yritysmuoto,Osakeyhtiö,10.03.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,10.03.2015,,
6,Viimeisin rekisteröintiajankohta,06.04.2022,06.04.2022,
7,Yrityksen tiedot järjestelmässä alkaen,10.03.2015,,
8,Yrityksen tila,Rekisterissä,10.03.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,18.06.2020,
11,Yhteystiedot,,13.01.2019,
12,Postiosoite,Liisankatu 27 F 26  00170  Helsinki  Suomi,,
13,Käyntiosoite,Liisankatu 27 F 26  00170  Helsinki  Suomi,,
14,Sähköposti,office(a)aor.fi,,
15,Www,http://www.aor.fi,,
