,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Kiinteistö Oy Oulun Lentoaseman Hotelli,08.10.2015,
1,Y-tunnus,2714873-4,,
2,Kotipaikka,Oulu,08.10.2015,
3,Yritysmuoto,Osakeyhtiö,08.10.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,08.10.2015,,
6,Viimeisin rekisteröintiajankohta,27.08.2022,27.08.2022,
7,Yrityksen tiedot järjestelmässä alkaen,08.10.2015,,
8,Yrityksen tila,Rekisterissä,08.10.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,29.06.2020,
11,Yhteystiedot,,10.04.2019,
12,Postiosoite,c/o Primehotels Oy  Furuborginkatu 3  00980  Helsinki  Suomi,,
13,Käyntiosoite,c/o Primehotels Oy  Furuborginkatu 3  00980  Helsinki  Suomi,,
14,Puhelin,050-60931,,
15,Sähköposti,tomi.peitsalo(a)primehotels.fi,,
