,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Spotmart Oy,14.04.2015,
1,Y-tunnus,2682540-6,,
2,Kotipaikka,Turku,14.04.2015,
3,Yritysmuoto,Osakeyhtiö,14.04.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,14.04.2015,,
6,Viimeisin rekisteröintiajankohta,23.06.2022,23.06.2022,
7,Yrityksen tiedot järjestelmässä alkaen,14.04.2015,,
8,Yrityksen tila,Rekisterissä,14.04.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,31.10.2019,
11,Yhteystiedot,,04.09.2017,
12,Postiosoite,c/o Marepark Oy  Saapaskallio 13  20900  Turku  Suomi,,
13,Puhelin,"0400 525302, 0400 525302",,
14,Sähköposti,osmo(a)marepark.fi,,
