,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Harjun perhekoti Oy,19.10.2015,
1,Y-tunnus,2717909-8,,
2,Kotipaikka,Jyväskylä,19.10.2015,
3,Yritysmuoto,Osakeyhtiö,19.10.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,19.10.2015,,
6,Viimeisin rekisteröintiajankohta,14.03.2023,14.03.2023,
7,Yrityksen tiedot järjestelmässä alkaen,19.10.2015,,
8,Yrityksen tila,Rekisterissä,19.10.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,14.03.2023,
11,Yhteystiedot,,16.10.2015,
12,Postiosoite,Myllykatu 4  41160  Tikkakoski  Suomi,,
13,Käyntiosoite,Myllykatu 4  41160  Tikkakoski  Suomi,,
