,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,KomeroFood Oy,25.07.2016,
1,Y-tunnus,2676765-6,,
2,Kotipaikka,Kuopio,24.02.2015,
3,Yritysmuoto,Osakeyhtiö,24.02.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,24.02.2015,,
6,Viimeisin rekisteröintiajankohta,09.01.2023,09.01.2023,
7,Yrityksen tiedot järjestelmässä alkaen,24.02.2015,,
8,Yrityksen tila,Rekisterissä,24.02.2015,
9,Yrityksellä on yrityskiinnityksiä,Kyllä,,
10,Yrityksellä on edunsaajatietoja,Kyllä,02.07.2020,
11,Yhteystiedot,,18.08.2021,
12,Postiosoite,Kellonkärki 8  70460  Kuopio  Suomi,,
13,Käyntiosoite,Kellonkärki 8  70460  Kuopio  Suomi,,
14,Www,http://www.komerofood.fi,,
