,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,TulosSatama Oy,21.04.2021,
1,Y-tunnus,2699341-8,,
2,Kotipaikka,Kuopio,14.07.2015,
3,Yritysmuoto,Osakeyhtiö,14.07.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,14.07.2015,,
6,Viimeisin rekisteröintiajankohta,26.11.2022,26.11.2022,
7,Yrityksen tiedot järjestelmässä alkaen,14.07.2015,,
8,Yrityksen tila,Rekisterissä,14.07.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,10.07.2020,
11,Yhteystiedot,,12.09.2021,
12,Postiosoite,Kirkkokatu 1  70100  Kuopio  Suomi,,
13,Käyntiosoite,Kirkkokatu 1  70100  Kuopio  Suomi,,
14,Puhelin,"0504009024, 0504009024",,
15,Sähköposti,heidi.savukoski(a)tulossatama.fi,,
16,Www,http://www.tulossatama.fi,,
