,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Kiiruna Talot Oy,04.09.2015,
1,Y-tunnus,2703627-3,,
2,Kotipaikka,Tornio,28.08.2015,
3,Yritysmuoto,Osakeyhtiö,28.08.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,28.08.2015,,
6,Viimeisin rekisteröintiajankohta,14.02.2023,14.02.2023,
7,Yrityksen tiedot järjestelmässä alkaen,28.08.2015,,
8,Yrityksen tila,Rekisterissä,28.08.2015,
9,Yrityksellä on yrityskiinnityksiä,Kyllä,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,03.04.2017,
12,Postiosoite,Neulojankatu 9  95450  Tornio  Suomi,,
13,Käyntiosoite,Neulojankatu 9  95450  Tornio  Suomi,,
14,Puhelin,040-5033180,,
15,Sähköposti,ismo.saily(a)kiirunatalot.fi,,
16,Www,http://www.kiirunatalot.fi,,
