,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,KEC OY AB,27.05.2015,
1,Y-tunnus,2691091-8,,
2,Kotipaikka,Isokyrö,19.11.2019,
3,Yritysmuoto,Osakeyhtiö,27.05.2015,
4,Yrityksen kieli,ruotsi,,
5,Rekisteröintiajankohta,27.05.2015,,
6,Viimeisin rekisteröintiajankohta,21.10.2022,21.10.2022,
7,Yrityksen tiedot järjestelmässä alkaen,27.05.2015,,
8,Yrityksen tila,Rekisterissä,27.05.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,09.07.2020,
11,Yhteystiedot,,01.11.2018,
12,Postiosoite,Liliuksenmutka 7  61500  Isokyrö  Suomi,,
13,Käyntiosoite,Liliuksenmutka 7  61500  Isokyrö  Suomi,,
14,Puhelin,"050-3205747, 050-3205747",,
15,Sähköposti,kecoyab(a)gmail.com,,
