,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Etelä-Suomen Konepaja Oy,03.06.2015,
1,Y-tunnus,2693412-7,,
2,Kotipaikka,Tuusula,03.06.2015,
3,Yritysmuoto,Osakeyhtiö,03.06.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,03.06.2015,,
6,Viimeisin rekisteröintiajankohta,22.02.2023,22.02.2023,
7,Yrityksen tiedot järjestelmässä alkaen,03.06.2015,,
8,Yrityksen tila,Rekisterissä,03.06.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,01.06.2020,
11,Yhteystiedot,,29.05.2015,
12,Postiosoite,Välitie 3  04340  Tuusula  Suomi,,
13,Käyntiosoite,Välitie 3  04340  Tuusula  Suomi,,
