,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Holmat Kiinteistöt Oy,28.08.2015,
1,Y-tunnus,2706320-4,,
2,Kotipaikka,Vaasa,28.08.2015,
3,Yritysmuoto,Osakeyhtiö,28.08.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,28.08.2015,,
6,Viimeisin rekisteröintiajankohta,05.01.2023,05.01.2023,
7,Yrityksen tiedot järjestelmässä alkaen,28.08.2015,,
8,Yrityksen tila,Rekisterissä,28.08.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,23.06.2020,
11,Yhteystiedot,,30.01.2023,
12,Postiosoite,Hovioikeudenpuistikko 2 A 13  65100  Vaasa  Suomi,,
13,Käyntiosoite,Hovioikeudenpuistikko 2 A 13  65100  Vaasa  Suomi,,
