,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Los Capitanos Oy,10.09.2015,
1,Y-tunnus,2708214-9,,
2,Kotipaikka,Helsinki,10.09.2015,
3,Yritysmuoto,Osakeyhtiö,10.09.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,10.09.2015,,
6,Viimeisin rekisteröintiajankohta,07.04.2023,07.04.2023,
7,Yrityksen tiedot järjestelmässä alkaen,10.09.2015,,
8,Yrityksen tila,Rekisterissä,10.09.2015,
9,Yrityksellä on yrityskiinnityksiä,Kyllä,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,02.09.2015,
12,Postiosoite,Energiakatu 3  00180  Helsinki  Suomi,,
13,Käyntiosoite,Energiakatu 3  00180  Helsinki  Suomi,,
