,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Via Deco Oy,15.01.2022,
1,Y-tunnus,2675734-3,,
2,Kotipaikka,Lahti,15.01.2022,
3,Yritysmuoto,Osakeyhtiö,15.01.2022,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,19.02.2015,,
6,Viimeisin rekisteröintiajankohta,27.01.2022,27.01.2022,
7,Yrityksen tiedot järjestelmässä alkaen,19.02.2015,,
8,Yrityksen tila,Rekisterissä,19.02.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,27.01.2022,
11,Yhteystiedot,,21.12.2021,
12,Postiosoite,Kuhantie 10  15540  Villähde  Suomi,,
13,Puhelin,0415352820,,
14,Sähköposti,viadecoky(a)gmail.com,,
15,Www,http://www.viadeco.fi,,
