,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,OpoCoaching Oy,10.11.2015,
1,Y-tunnus,2722363-4,,
2,Kotipaikka,Kuopio,10.11.2015,
3,Yritysmuoto,Osakeyhtiö,10.11.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,10.11.2015,,
6,Viimeisin rekisteröintiajankohta,25.09.2021,25.09.2021,
7,Yrityksen tiedot järjestelmässä alkaen,10.11.2015,,
8,Yrityksen tila,Rekisterissä,10.11.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,04.11.2015,
12,Postiosoite,c/o Ståhlberg  Niiralankatu 16 A 7  70600  Kuopio  Suomi,,
13,Puhelin,"044 7220372, 044 5080808",,
