,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Planecto Oy,10.02.2015,
1,Y-tunnus,2670159-3,,
2,Kotipaikka,Kauniainen,10.02.2015,
3,Yritysmuoto,Osakeyhtiö,10.02.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,10.02.2015,,
6,Viimeisin rekisteröintiajankohta,09.09.2022,09.09.2022,
7,Yrityksen tiedot järjestelmässä alkaen,10.02.2015,,
8,Yrityksen tila,Rekisterissä,10.02.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,29.04.2020,
11,Yhteystiedot,,21.11.2022,
12,Postiosoite,Viikinkaari 6  00790  Helsinki  Suomi,,
13,Käyntiosoite,Viikinkaari 6  00790  Helsinki  Suomi,,
14,Sähköposti,planecto(a)gmail.com,,
