,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,AiKon Kartano Oy,04.08.2015,
1,Y-tunnus,2701166-6,,
2,Kotipaikka,Viitasaari,04.08.2015,
3,Yritysmuoto,Osakeyhtiö,04.08.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,04.08.2015,,
6,Viimeisin rekisteröintiajankohta,03.03.2023,03.03.2023,
7,Yrityksen tiedot järjestelmässä alkaen,04.08.2015,,
8,Yrityksen tila,Rekisterissä,04.08.2015,
9,Yrityksen tilanne,Konkurssissa,03.03.2023,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
11,Yrityksellä on edunsaajatietoja,Kyllä,16.03.2020,
12,Yhteystiedot,,05.10.2018,
13,Postiosoite,Muikunlahdentie 165  44500  Viitasaari  Suomi,,
14,Käyntiosoite,Muikunlahdentie 165  44500  Viitasaari  Suomi,,
15,Puhelin,014-572000,,
16,Sähköposti,info(a)aikonkartano.fi,,
17,Www,http://www.aikonkartano.fi,,
