,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Stadin Scandinavian Oy,18.11.2015,
1,Y-tunnus,2724271-2,,
2,Kotipaikka,Helsinki,18.11.2015,
3,Yritysmuoto,Osakeyhtiö,18.11.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,18.11.2015,,
6,Viimeisin rekisteröintiajankohta,19.10.2022,19.10.2022,
7,Yrityksen tiedot järjestelmässä alkaen,18.11.2015,,
8,Yrityksen tila,Rekisterissä,18.11.2015,
9,Yrityksellä on yrityskiinnityksiä,Kyllä,,
10,Yrityksellä on edunsaajatietoja,Kyllä,23.02.2020,
11,Yhteystiedot,,17.02.2020,
12,Postiosoite,c/o Kaasutehtaankatu 1 rak. 6  Kaasutehtaankatu 1  00540  Helsinki  Suomi,,
13,Käyntiosoite,c/o Kaasutehtaankatu 1 rak. 6  Kaasutehtaankatu 1  00540  Helsinki  Suomi,,
