,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,HK Sähkö Oy,31.03.2015,
1,Y-tunnus,2677259-4,,
2,Kotipaikka,Nokia,31.03.2015,
3,Yritysmuoto,Osakeyhtiö,31.03.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,31.03.2015,,
6,Viimeisin rekisteröintiajankohta,25.08.2022,25.08.2022,
7,Yrityksen tiedot järjestelmässä alkaen,31.03.2015,,
8,Yrityksen tila,Rekisterissä,31.03.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,11.06.2020,
11,Yhteystiedot,,20.02.2015,
12,Postiosoite,Halkoniementie 11  37120  Nokia  Suomi,,
13,Puhelin,0400835483,,
