,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,1344 Pirjo Saarela Oy,30.01.2015,
1,Y-tunnus,2664250-3,,
2,Kotipaikka,Vieremä,30.01.2015,
3,Yritysmuoto,Osakeyhtiö,30.01.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,30.01.2015,,
6,Viimeisin rekisteröintiajankohta,10.07.2020,10.07.2020,
7,Yrityksen tiedot järjestelmässä alkaen,30.01.2015,,
8,Yrityksen tila,Rekisterissä,30.01.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,07.01.2015,
12,Postiosoite,Lamminkyläntie 69  74270  Kauppilanmäki  Suomi,,
13,Käyntiosoite,c/o R-kioski Kiuruvesi  Kiurukatu 2  74700  Kiuruvesi  Suomi,,
