,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Wecton Oy,20.04.2017,
1,Y-tunnus,2676391-1,,
2,Kotipaikka,Nokia,20.02.2015,
3,Yritysmuoto,Osakeyhtiö,20.02.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,20.02.2015,,
6,Viimeisin rekisteröintiajankohta,09.04.2018,09.04.2018,
7,Yrityksen tiedot järjestelmässä alkaen,20.02.2015,,
8,Yrityksen tila,Rekisterissä,20.02.2015,
9,Yrityksen tilanne,Konkurssissa,09.04.2018,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
11,Yrityksellä on edunsaajatietoja,Ei,,
12,Yhteystiedot,,08.06.2017,
13,Postiosoite,Purjetie 2 C 123  00960  Helsinki  Suomi,,
14,Käyntiosoite,Purjetie 2 C 123  00960  Helsinki  Suomi,,
