,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Urban Expo Oy,08.03.2023,
1,Y-tunnus,2718642-3,,
2,Kotipaikka,Helsinki,22.10.2015,
3,Yritysmuoto,Osakeyhtiö,22.10.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,22.10.2015,,
6,Viimeisin rekisteröintiajankohta,08.03.2023,08.03.2023,
7,Yrityksen tiedot järjestelmässä alkaen,22.10.2015,,
8,Yrityksen tila,Rekisterissä,22.10.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,10.08.2022,
11,Yhteystiedot,,13.05.2016,
12,Postiosoite,Hatanpään Valtatie 1 B  33100  Tampere  Suomi,,
13,Käyntiosoite,Hatanpään Valtatie 1 B  33100  Tampere  Suomi,,
