,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Oilon Technology Oy,01.05.2016,
1,Y-tunnus,2734428-4,,
2,Kotipaikka,Lahti,01.05.2016,
3,Yritysmuoto,Osakeyhtiö,01.05.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,01.05.2016,,
6,Viimeisin rekisteröintiajankohta,23.03.2023,23.03.2023,
7,Yrityksen tiedot järjestelmässä alkaen,01.05.2016,,
8,Yrityksen tila,Rekisterissä,01.05.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,12.05.2020,
11,Yhteystiedot,,11.05.2023,
12,Postiosoite,PL 5  15801  Lahti  Suomi,,
13,Käyntiosoite,Metsä-Pietilänkatu 1  15800  Lahti  Suomi,,
