,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Attaboy Workshop Oy,25.01.2016,
1,Y-tunnus,2734777-6,,
2,Kotipaikka,Hyvinkää,25.01.2016,
3,Yritysmuoto,Osakeyhtiö,25.01.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,25.01.2016,,
6,Viimeisin rekisteröintiajankohta,01.06.2023,01.06.2023,
7,Yrityksen tiedot järjestelmässä alkaen,25.01.2016,,
8,Yrityksen tila,Rekisterissä,25.01.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,11.01.2016,
12,Postiosoite,Ratatöyrääntie 5 L 6  05810  Hyvinkää  Suomi,,
13,Käyntiosoite,Ratatöyrääntie 5 L 6  05810  Hyvinkää  Suomi,,
