,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,PL Steel Welding Oy,24.04.2019,
1,Y-tunnus,2680013-7,,
2,Kotipaikka,Helsinki,24.04.2019,
3,Yritysmuoto,Osakeyhtiö,16.03.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,16.03.2015,,
6,Viimeisin rekisteröintiajankohta,31.12.2019,31.12.2019,
7,Yrityksen tiedot järjestelmässä alkaen,16.03.2015,,
8,Yrityksen tila,Rekisterissä,16.03.2015,
9,Yrityksen tilanne,Konkurssissa,31.12.2019,
10,Yrityksellä on yrityskiinnityksiä,Kyllä,,
11,Yrityksellä on edunsaajatietoja,Ei,,
12,Yhteystiedot,,09.09.2019,
13,Postiosoite,PL 170  00131  Helsinki  Suomi,,
