,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,PL Holding Oy,23.06.2015,
1,Y-tunnus,2694485-1,,
2,Kotipaikka,Espoo,23.06.2015,
3,Yritysmuoto,Osakeyhtiö,23.06.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,23.06.2015,,
6,Viimeisin rekisteröintiajankohta,20.10.2022,20.10.2022,
7,Yrityksen tiedot järjestelmässä alkaen,23.06.2015,,
8,Yrityksen tila,Rekisterissä,23.06.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,07.02.2019,
12,Postiosoite,Södra Salovägen 47  10210  Inkoo  Suomi,,
13,Käyntiosoite,Koivuviidantie 11 A  02130  Espoo  Suomi,,
14,Puhelin,050-3555969,,
