,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,LähiTapiola Asuntosijoitus Suomi Feeder Oy,07.03.2016,
1,Y-tunnus,2729689-2,,
2,Kotipaikka,Espoo,07.03.2016,
3,Yritysmuoto,Osakeyhtiö,09.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,09.12.2015,,
6,Viimeisin rekisteröintiajankohta,11.05.2023,11.05.2023,
7,Yrityksen tiedot järjestelmässä alkaen,09.12.2015,,
8,Yrityksen tila,Rekisterissä,09.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,09.06.2020,
11,Yhteystiedot,,18.10.2017,
12,Postiosoite,c/o LähiTapiola Kiinteistöpääom.Oy  Revontulenkuja 1  02010  LÄHITAPIOLA Suomi,,
