,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Loadbro Oy,12.11.2015,
1,Y-tunnus,2721750-9,,
2,Kotipaikka,Kotka,12.11.2015,
3,Yritysmuoto,Osakeyhtiö,12.11.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,12.11.2015,,
6,Viimeisin rekisteröintiajankohta,30.05.2016,30.05.2016,
7,Yrityksen tiedot järjestelmässä alkaen,12.11.2015,,
8,Yrityksen tila,Rekisterissä,12.11.2015,
9,Yrityksen tilanne,Konkurssissa,30.05.2016,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
11,Yrityksellä on edunsaajatietoja,Ei,,
12,Yhteystiedot,,09.11.2015,
13,Postiosoite,Rosendalinkuja 4 B 38  01520  Vantaa  Suomi,,
