,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Big Tags Oy,26.01.2016,
1,Y-tunnus,2734785-6,,
2,Kotipaikka,Helsinki,26.01.2016,
3,Yritysmuoto,Osakeyhtiö,26.01.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,26.01.2016,,
6,Viimeisin rekisteröintiajankohta,28.02.2023,28.02.2023,
7,Yrityksen tiedot järjestelmässä alkaen,26.01.2016,,
8,Yrityksen tila,Rekisterissä,26.01.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,08.06.2020,
11,Yhteystiedot,,08.03.2023,
12,Postiosoite,Merimiehenkatu 10  00150  Helsinki  Suomi,,
13,Käyntiosoite,Merimiehenkatu 10  00150  Helsinki  Suomi,,
14,Puhelin,0445471882,,
15,Sähköposti,juha(a)kaunis.to,,
