,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Oy Stayhome Ab,27.01.2015,
1,Y-tunnus,2665208-2,,
2,Kotipaikka,Helsinki,27.01.2015,
3,Yritysmuoto,Osakeyhtiö,27.01.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,27.01.2015,,
6,Viimeisin rekisteröintiajankohta,30.06.2021,30.06.2021,
7,Yrityksen tiedot järjestelmässä alkaen,27.01.2015,,
8,Yrityksen tila,Rekisterissä,27.01.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,12.01.2015,
12,Postiosoite,PL 686  00101  Helsinki  Suomi,,
13,Puhelin,+358 40 524 0484,,
14,Sähköposti,stefan(a)stayhome.fi,,
15,Www,http://www.stayhome.fi,,
