,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Mint Security Oy,14.12.2015,
1,Y-tunnus,2731258-1,,
2,Kotipaikka,Espoo,14.12.2015,
3,Yritysmuoto,Osakeyhtiö,14.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,14.12.2015,,
6,Viimeisin rekisteröintiajankohta,06.04.2023,06.04.2023,
7,Yrityksen tiedot järjestelmässä alkaen,14.12.2015,,
8,Yrityksen tila,Rekisterissä,14.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,07.11.2022,
11,Yhteystiedot,,28.05.2021,
12,Postiosoite,Friisiläntie 50 B  02240  Espoo  Suomi,,
13,Käyntiosoite,Friisiläntie 50 B  02240  Espoo  Suomi,,
14,Puhelin,+358503805224,,
15,Sähköposti,info(a)mintsecurity.fi,,
16,Www,http://www.mintsecurity.fi,,
