,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Kodinkonehuolto Suoraniemi Oy,30.04.2016,
1,Y-tunnus,2731496-6,,
2,Kotipaikka,Kuusamo,30.04.2016,
3,Yritysmuoto,Osakeyhtiö,30.04.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,30.04.2016,,
6,Viimeisin rekisteröintiajankohta,15.11.2022,15.11.2022,
7,Yrityksen tiedot järjestelmässä alkaen,30.04.2016,,
8,Yrityksen tila,Rekisterissä,30.04.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,29.06.2020,
11,Yhteystiedot,,02.02.2016,
12,Postiosoite,Helmenpyytäjäntie 44  93600  Kuusamo  Suomi,,
13,Käyntiosoite,Teollisuustie 10  93600  Kuusamo  Suomi,,
14,Puhelin,044 548 6404,,
