,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Henheimiik Oy,03.09.2015,
1,Y-tunnus,2707138-6,,
2,Kotipaikka,Kuopio,03.09.2015,
3,Yritysmuoto,Osakeyhtiö,03.09.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,03.09.2015,,
6,Viimeisin rekisteröintiajankohta,23.02.2023,23.02.2023,
7,Yrityksen tiedot järjestelmässä alkaen,03.09.2015,,
8,Yrityksen tila,Rekisterissä,03.09.2015,
9,Yrityksellä on yrityskiinnityksiä,Kyllä,,
10,Yrityksellä on edunsaajatietoja,Kyllä,01.07.2020,
11,Yhteystiedot,,27.08.2015,
12,Postiosoite,Kalevantori 3  70500  Kuopio  Suomi,,
13,Käyntiosoite,Kalevantori 3  70500  Kuopio  Suomi,,
14,Sähköposti,arja.smolander(a)k-market.com,,
