,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Sporto Oy,19.01.2016,
1,Y-tunnus,2733512-6,,
2,Kotipaikka,Kuopio,19.01.2016,
3,Yritysmuoto,Osakeyhtiö,19.01.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,19.01.2016,,
6,Viimeisin rekisteröintiajankohta,30.05.2023,30.05.2023,
7,Yrityksen tiedot järjestelmässä alkaen,19.01.2016,,
8,Yrityksen tila,Rekisterissä,19.01.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,02.06.2020,
11,Yhteystiedot,,22.12.2019,
12,Postiosoite,Ruotsinkatu 40  70600  Kuopio  Suomi,,
13,Puhelin,+358 440 670 136,,
14,Sähköposti,sales(a)sporto.fi,,
15,Www,http://www.sporto.fi,,
