,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Soilfood Oy,29.04.2015,
1,Y-tunnus,2687453-1,,
2,Kotipaikka,Lieto,29.04.2015,
3,Yritysmuoto,Osakeyhtiö,29.04.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,29.04.2015,,
6,Viimeisin rekisteröintiajankohta,27.12.2022,27.12.2022,
7,Yrityksen tiedot järjestelmässä alkaen,29.04.2015,,
8,Yrityksen tila,Rekisterissä,29.04.2015,
9,Yrityksellä on yrityskiinnityksiä,Kyllä,,
10,Yrityksellä on edunsaajatietoja,Kyllä,05.05.2022,
11,Yhteystiedot,,28.05.2021,
12,Postiosoite,Kalevantie 7 C  33100  Tampere  Suomi,,
13,Käyntiosoite,Kalevantie 7 C  33100  Tampere  Suomi,,
14,Puhelin,0201441020,,
15,Sähköposti,soilfood(a)soilfood.fi,,
16,Www,http://soilfood.fi,,
