,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Tiira Events Oy,21.09.2015,
1,Y-tunnus,2709263-8,,
2,Kotipaikka,Hämeenlinna,21.09.2015,
3,Yritysmuoto,Osakeyhtiö,21.09.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,21.09.2015,,
6,Viimeisin rekisteröintiajankohta,29.03.2023,29.03.2023,
7,Yrityksen tiedot järjestelmässä alkaen,21.09.2015,,
8,Yrityksen tila,Rekisterissä,21.09.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,17.01.2020,
11,Yhteystiedot,,23.03.2020,
12,Postiosoite,Oittilantie 101  41800  Korpilahti  Suomi,,
13,Käyntiosoite,Oittilantie 101  41800  Korpilahti  Suomi,,
14,Puhelin,"0406325006, 0406325006",,
15,Sähköposti,info(a)vaarunhovi.fi,,
16,Www,http://www.vaarunhovi.fi,,
