,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Cosmic Jetpack Oy,18.12.2015,
1,Y-tunnus,2732471-8,,
2,Kotipaikka,Helsinki,18.12.2015,
3,Yritysmuoto,Osakeyhtiö,18.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,18.12.2015,,
6,Viimeisin rekisteröintiajankohta,18.04.2023,18.04.2023,
7,Yrityksen tiedot järjestelmässä alkaen,18.12.2015,,
8,Yrityksen tila,Rekisterissä,18.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,27.03.2023,
11,Yhteystiedot,,30.05.2022,
12,Postiosoite,Risto Rytin tie 28 A 4  00570  Helsinki  Suomi,,
13,Puhelin,+358406749936,,
14,Sähköposti,hello(a)cosmicjetpack.com,,
15,Www,https://cosmicjetpack.com,,
