,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Oulun Tähtisara Oy,14.11.2017,
1,Y-tunnus,2704938-1,,
2,Kotipaikka,Oulu,14.11.2017,
3,Yritysmuoto,Osakeyhtiö,14.11.2017,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,21.09.2015,,
6,Viimeisin rekisteröintiajankohta,14.04.2023,14.04.2023,
7,Yrityksen tiedot järjestelmässä alkaen,21.09.2015,,
8,Yrityksen tila,Rekisterissä,21.09.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,13.11.2017,
12,Postiosoite,c/o Rakennus Avant Oy  Ahlströmintie 1 B  92400  Ruukki  Suomi,,
