,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Pohjanmaan Pikakiito Oy,26.01.2015,
1,Y-tunnus,2663722-9,,
2,Kotipaikka,Seinäjoki,26.01.2015,
3,Yritysmuoto,Osakeyhtiö,26.01.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,26.01.2015,,
6,Lakkaamisajankohta,21.12.2016,21.12.2016,
7,Viimeisin rekisteröintiajankohta,21.12.2016,21.12.2016,
8,Yrityksen tiedot järjestelmässä alkaen,26.01.2015,,
9,Yrityksen tila,Lakannut,21.12.2016,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
