,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Kiinteistö Oy Tehtaantie Kymppi,21.07.2015,
1,Y-tunnus,2695930-8,,
2,Kotipaikka,Juva,21.07.2015,
3,Yritysmuoto,Osakeyhtiö,21.07.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,21.07.2015,,
6,Viimeisin rekisteröintiajankohta,07.04.2023,07.04.2023,
7,Yrityksen tiedot järjestelmässä alkaen,21.07.2015,,
8,Yrityksen tila,Rekisterissä,21.07.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,19.03.2021,
11,Yhteystiedot,,19.09.2022,
12,Postiosoite,Tehtaantie 10  51900  Juva  Suomi,,
13,Käyntiosoite,Tehtaantie 10  51900  Juva  Suomi,,
