,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,TE Development Oy,14.10.2015,
1,Y-tunnus,2717200-5,,
2,Kotipaikka,Lahti,14.10.2015,
3,Yritysmuoto,Osakeyhtiö,14.10.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,14.10.2015,,
6,Viimeisin rekisteröintiajankohta,14.02.2023,14.02.2023,
7,Yrityksen tiedot järjestelmässä alkaen,14.10.2015,,
8,Yrityksen tila,Rekisterissä,14.10.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,21.08.2019,
11,Yhteystiedot,,12.10.2015,
12,Postiosoite,Joutjoentie 13 B  15170  Lahti  Suomi,,
13,Käyntiosoite,Joutjoentie 13 B  15170  Lahti  Suomi,,
