,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,RailCo Oy,01.03.2015,
1,Y-tunnus,2675863-7,,
2,Kotipaikka,Kemi,01.03.2015,
3,Yritysmuoto,Osakeyhtiö,01.03.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,01.03.2015,,
6,Viimeisin rekisteröintiajankohta,16.01.2023,16.01.2023,
7,Yrityksen tiedot järjestelmässä alkaen,01.03.2015,,
8,Yrityksen tila,Rekisterissä,01.03.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,27.01.2023,
12,Postiosoite,Pörhöläntie 59  94450  Keminmaa  Suomi,,
13,Käyntiosoite,Pörhöläntie 59  94450  Keminmaa  Suomi,,
14,Puhelin,0400-695670,,
15,Sähköposti,kimmo.pakonen(a)railco.fi,,
