,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,S2B Energia Oy,20.08.2015,
1,Y-tunnus,2704471-6,,
2,Kotipaikka,Kankaanpää,20.08.2015,
3,Yritysmuoto,Osakeyhtiö,20.08.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,20.08.2015,,
6,Viimeisin rekisteröintiajankohta,16.11.2022,16.11.2022,
7,Yrityksen tiedot järjestelmässä alkaen,20.08.2015,,
8,Yrityksen tila,Rekisterissä,20.08.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,30.04.2020,
11,Yhteystiedot,,15.08.2018,
12,Postiosoite,PL 12  38701  Kankaanpää  Suomi,,
13,Käyntiosoite,Vuohiniityntie 2  38700  Kankaanpää  Suomi,,
14,Puhelin,+358 44 7503540,,
15,Sähköposti,mika.vuori(a)s2benergia.fi,,
16,Www,http://www.s2benergia.fi,,
