,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Asfalttimaalaus Ruutumiehet Oy,13.04.2015,
1,Y-tunnus,2684272-4,,
2,Kotipaikka,Ylöjärvi,13.04.2015,
3,Yritysmuoto,Osakeyhtiö,13.04.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,13.04.2015,,
6,Viimeisin rekisteröintiajankohta,20.02.2023,20.02.2023,
7,Yrityksen tiedot järjestelmässä alkaen,13.04.2015,,
8,Yrityksen tila,Rekisterissä,13.04.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,23.06.2020,
11,Yhteystiedot,,18.05.2015,
12,Postiosoite,Hiirikalliontie 5  34140  Mutala  Suomi,,
13,Puhelin,0505982195,,
14,Sähköposti,posti(a)asfalttimaalausrm.fi,,
15,Www,http://www.asfalttimaalausrm.fi,,
