,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Ohjelmistotalo Sowellus Oy,26.01.2015,
1,Y-tunnus,2666110-6,,
2,Kotipaikka,Helsinki,26.01.2015,
3,Yritysmuoto,Osakeyhtiö,26.01.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,26.01.2015,,
6,Viimeisin rekisteröintiajankohta,21.10.2022,21.10.2022,
7,Yrityksen tiedot järjestelmässä alkaen,26.01.2015,,
8,Yrityksen tila,Rekisterissä,26.01.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,21.10.2022,
11,Yhteystiedot,,29.06.2018,
12,Postiosoite,Kampinkuja 2 C 310  00100  Helsinki  Suomi,,
13,Käyntiosoite,Kampinkuja 2 C 310  00100  Helsinki  Suomi,,
14,Puhelin,"0405601234, 0405601234",,
15,Sähköposti,tuomas.pohjola(a)sowellus.fi,,
16,Www,http://www.sowellus.fi,,
