,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Oy Maarock Ab,22.01.2015,
1,Y-tunnus,2665772-1,,
2,Kotipaikka,Lapinjärvi,22.01.2015,
3,Yritysmuoto,Osakeyhtiö,22.01.2015,
4,Yrityksen kieli,ruotsi,,
5,Rekisteröintiajankohta,22.01.2015,,
6,Viimeisin rekisteröintiajankohta,10.11.2022,10.11.2022,
7,Yrityksen tiedot järjestelmässä alkaen,22.01.2015,,
8,Yrityksen tila,Rekisterissä,22.01.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,13.01.2015,
12,Postiosoite,Petjärvivägen 142  07870  Skinnarby  Suomi,,
13,Käyntiosoite,Petjärvivägen 142  07870  Skinnarby  Suomi,,
