,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,KotiKutonen Oy,30.04.2015,
1,Y-tunnus,2686038-3,,
2,Kotipaikka,Espoo,30.04.2015,
3,Yritysmuoto,Osakeyhtiö,30.04.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,30.04.2015,,
6,Viimeisin rekisteröintiajankohta,15.09.2022,15.09.2022,
7,Yrityksen tiedot järjestelmässä alkaen,30.04.2015,,
8,Yrityksen tila,Rekisterissä,30.04.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,01.03.2020,
12,Postiosoite,Kytäjäntie 1148  05720  Hyvinkää  Suomi,,
13,Käyntiosoite,Kytäjäntie 1148  05720  Hyvinkää  Suomi,,
14,Puhelin,"0456131323, 0456131323",,
15,Sähköposti,kotikutonenoy(a)gmail.com,,
