,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Robusto Oy,01.07.2015,
1,Y-tunnus,2697941-3,,
2,Kotipaikka,Sotkamo,01.07.2015,
3,Yritysmuoto,Osakeyhtiö,01.07.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,01.07.2015,,
6,Viimeisin rekisteröintiajankohta,28.02.2023,28.02.2023,
7,Yrityksen tiedot järjestelmässä alkaen,01.07.2015,,
8,Yrityksen tila,Rekisterissä,01.07.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,07.04.2020,
11,Yhteystiedot,,21.03.2022,
12,Postiosoite,Lemetynhaka 3 A  36240  Kangasala  Suomi,,
13,Käyntiosoite,Lemetynhaka 3 A  36240  Kangasala  Suomi,,
14,Puhelin,+358449891513,,
15,Sähköposti,tapani(a)robusto.company,,
