,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Digarto Oy,30.03.2015,
1,Y-tunnus,2681920-9,,
2,Kotipaikka,Espoo,30.03.2015,
3,Yritysmuoto,Osakeyhtiö,30.03.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,30.03.2015,,
6,Viimeisin rekisteröintiajankohta,11.02.2023,11.02.2023,
7,Yrityksen tiedot järjestelmässä alkaen,30.03.2015,,
8,Yrityksen tila,Rekisterissä,30.03.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,04.03.2020,
11,Yhteystiedot,,17.03.2015,
12,Postiosoite,Ymmerstanmäki 24  02750  Espoo  Suomi,,
