,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Kiinteistö Oy Peltorinne,08.09.2015,
1,Y-tunnus,2707709-1,,
2,Kotipaikka,Suomussalmi,08.09.2015,
3,Yritysmuoto,Osakeyhtiö,08.09.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,08.09.2015,,
6,Viimeisin rekisteröintiajankohta,23.04.2022,23.04.2022,
7,Yrityksen tiedot järjestelmässä alkaen,08.09.2015,,
8,Yrityksen tila,Rekisterissä,08.09.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,23.05.2020,
11,Yhteystiedot,,31.08.2015,
12,Postiosoite,Kuhmontie 307 B  89830  Ala-Vuokki  Suomi,,
13,Käyntiosoite,Kuhmontie 307 B  89830  Ala-Vuokki  Suomi,,
14,Puhelin,0500213913,,
15,Sähköposti,peltorinne.kiinteistot(a)hotmail.com,,
