,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Makkianpala Oy,26.03.2018,
1,Y-tunnus,2701613-3,,
2,Kotipaikka,Turku,04.08.2015,
3,Yritysmuoto,Osakeyhtiö,04.08.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,04.08.2015,,
6,Viimeisin rekisteröintiajankohta,25.05.2022,25.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,04.08.2015,,
8,Yrityksen tila,Rekisterissä,04.08.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,29.06.2020,
11,Yhteystiedot,,28.07.2015,
12,Postiosoite,Annankatu 3 A 1  20100  Turku  Suomi,,
