,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Vuokra Kunkut Oy,09.06.2022,
1,Y-tunnus,2702405-3,,
2,Kotipaikka,Parkano,17.09.2015,
3,Yritysmuoto,Osakeyhtiö,17.09.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,17.09.2015,,
6,Viimeisin rekisteröintiajankohta,26.08.2022,26.08.2022,
7,Yrityksen tiedot järjestelmässä alkaen,17.09.2015,,
8,Yrityksen tila,Rekisterissä,17.09.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,26.08.2022,
11,Yhteystiedot,,16.06.2022,
12,Postiosoite,Poikkeuksentie 72  39580  Riitiala  Suomi,,
13,Käyntiosoite,Poikkeuksentie 72  39580  Riitiala  Suomi,,
14,Puhelin,0451171580,,
