,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Sisustuspaletti Oy,04.03.2015,
1,Y-tunnus,2670096-1,,
2,Kotipaikka,Kokkola,04.03.2015,
3,Yritysmuoto,Osakeyhtiö,04.03.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,04.03.2015,,
6,Viimeisin rekisteröintiajankohta,11.07.2022,11.07.2022,
7,Yrityksen tiedot järjestelmässä alkaen,04.03.2015,,
8,Yrityksen tila,Rekisterissä,04.03.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,11.07.2022,
11,Yhteystiedot,,26.01.2015,
12,Postiosoite,Merilokinkaari 22  67200  Kokkola  Suomi,,
13,Käyntiosoite,Merilokinkaari 22  67200  Kokkola  Suomi,,
14,Puhelin,0400591959,,
