,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Sirako Oy,27.05.2022,
1,Y-tunnus,2693783-8,,
2,Kotipaikka,Pirkkala,04.06.2015,
3,Yritysmuoto,Osakeyhtiö,04.06.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,04.06.2015,,
6,Viimeisin rekisteröintiajankohta,19.08.2022,19.08.2022,
7,Yrityksen tiedot järjestelmässä alkaen,04.06.2015,,
8,Yrityksen tila,Rekisterissä,04.06.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,26.06.2020,
11,Yhteystiedot,,17.05.2022,
12,Postiosoite,Hissikatu 1 B 59  33900  Tampere  Suomi,,
13,Käyntiosoite,Hissikatu 1  33900  Tampere  Suomi,,
