,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Infrakit Group Oy,08.08.2019,
1,Y-tunnus,2737848-4,,
2,Kotipaikka,Helsinki,25.01.2016,
3,Yritysmuoto,Osakeyhtiö,25.01.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,25.01.2016,,
6,Viimeisin rekisteröintiajankohta,13.09.2022,13.09.2022,
7,Yrityksen tiedot järjestelmässä alkaen,25.01.2016,,
8,Yrityksen tila,Rekisterissä,25.01.2016,
9,Yrityksellä on yrityskiinnityksiä,Kyllä,,
10,Yrityksellä on edunsaajatietoja,Kyllä,04.08.2020,
11,Yhteystiedot,,01.03.2021,
12,Postiosoite,Keilaniementie 1  02150  Espoo  Suomi,,
13,Käyntiosoite,Keilaniementie 1  02150  Espoo  Suomi,,
14,Www,http://infrakit.com,,
